A,AISC_name,EDI_Std_Nomenclature,H,Ix,Iy,Sx,Sy,T_F,Type,W,Zx,Zy,b,b_t,d,ro,rx,ry,t,y,yp
62.2,2L12X12X1-3/8X3/4,2L12X12X1-3/8X3/4,0.84,826,1760,97.2,142,F,2L,210,176,241,12,8.7,12,7.03,3.64,5.32,1.38,3.5,1.3
62.2,2L12X12X1-3/8,2L12X12X1-3/8,0.831,826,1590,97.2,133,F,2L,210,176,218,12,8.7,12,6.84,3.64,5.06,1.38,3.5,1.3
56.8,2L12X12X1-1/4X3/4,2L12X12X1-1/4X3/4,0.839,762,1590,89.2,128,F,2L,193,161,217,12,9.6,12,7.03,3.66,5.29,1.25,3.45,1.18
56.8,2L12X12X1-1/4,2L12X12X1-1/4,0.829,762,1440,89.2,120,F,2L,193,161,196,12,9.6,12,6.84,3.66,5.04,1.25,3.45,1.18
51.6,2L12X12X1-1/8,2L12X12X1-1/8,0.827,700,1300,81.4,108,F,2L,174,147,176,12,10.6,12,6.85,3.68,5.02,1.13,3.41,1.08
56.8,2L12X12X1-1/4X1-1/2,2L12X12X1-1/4X1-1/2,0.848,762,1760,89.2,138,F,2L,193,161,239,12,9.6,12,7.24,3.66,5.57,1.25,3.45,1.18
46,2L12X12X1,2L12X12X1,0.826,630,1150,73,95.8,F,2L,156,132,155,12,12,12,6.85,3.7,5,1,3.36,0.958
51.6,2L12X12X1-1/8X3/4,2L12X12X1-1/8X3/4,0.837,700,1440,81.4,116,F,2L,174,147,195,12,10.6,12,7.04,3.68,5.28,1.13,3.41,1.08
51.6,2L12X12X1-1/8X1-1/2,2L12X12X1-1/8X1-1/2,0.846,700,1590,81.4,125,F,2L,174,147,215,12,10.6,12,7.24,3.68,5.55,1.13,3.41,1.08
51.2,2L10X10X1-3/8,2L10X10X1-3/8,0.835,462,923,66,92.3,F,2L,174,120,154,10,7.25,10,5.69,3,4.25,1.38,3,1.28
46,2L12X12X1X3/4,2L12X12X1X3/4,0.834,630,1270,73,103,F,2L,156,132,172,12,12,12,7.03,3.7,5.25,1,3.36,0.958
51.2,2L10X10X1-3/8X1-1/2,2L10X10X1-3/8X1-1/2,0.858,462,1180,66,110,F,2L,174,120,192,10,7.25,10,6.12,3,4.8,1.38,3,1.28
51.2,2L10X10X1-3/8X3/4,2L10X10X1-3/8X3/4,0.847,462,1050,66,101,F,2L,174,120,173,10,7.25,10,5.9,3,4.53,1.38,3,1.28
46.8,2L10X10X1-1/4X1-1/2,2L10X10X1-1/4X1-1/2,0.855,426,1070,60.4,99.5,F,2L,160,110,173,10,8,10,6.11,3.02,4.78,1.25,2.95,1.17
46.8,2L10X10X1-1/4,2L10X10X1-1/4,0.832,426,833,60.4,83.3,F,2L,160,110,138,10,8,10,5.68,3.02,4.22,1.25,2.95,1.17
46,2L12X12X1X1-1/2,2L12X12X1X1-1/2,0.844,630,1410,73,111,F,2L,156,132,189,12,12,12,7.25,3.7,5.54,1,3.36,0.958
46.8,2L10X10X1-1/4X3/4,2L10X10X1-1/4X3/4,0.844,426,943,60.4,90.9,F,2L,160,110,156,10,8,10,5.89,3.02,4.49,1.25,2.95,1.17
42.6,2L10X10X1-1/8X1-1/2,2L10X10X1-1/8X1-1/2,0.853,392,960,55.2,89.3,F,2L,145,100,155,10,8.85,10,6.1,3.03,4.75,1.13,2.9,1.07
42.6,2L10X10X1-1/8,2L10X10X1-1/8,0.831,392,750,55.2,75,F,2L,145,100,124,10,8.85,10,5.68,3.03,4.2,1.13,2.9,1.07
42.6,2L10X10X1-1/8X3/4,2L10X10X1-1/8X3/4,0.842,392,849,55.2,81.8,F,2L,145,100,140,10,8.85,10,5.88,3.03,4.46,1.13,2.9,1.07
62.2,2L12X12X1-3/8X1-1/2,2L12X12X1-3/8X1-1/2,0.85,826,1950,97.2,153,F,2L,210,176,264,12,8.7,12,7.25,3.64,5.6,1.38,3.5,1.3
38,2L10X10X1X1-1/2,2L10X10X1X1-1/2,0.85,354,849,49.6,79,F,2L,129,90,137,10,10,10,6.1,3.05,4.73,1,2.86,0.95
33.6,2L10X10X7/8X3/4,2L10X10X7/8X3/4,0.838,316,655,43.8,63.1,F,2L,114,79.8,107,10,11.4,10,5.87,3.07,4.42,0.875,2.8,0.84
38,2L10X10X1,2L10X10X1,0.828,354,665,49.6,66.5,F,2L,129,90,109,10,10,10,5.69,3.05,4.18,1,2.86,0.95
33.6,2L10X10X7/8,2L10X10X7/8,0.827,316,579,43.8,57.9,F,2L,114,79.8,94.1,10,11.4,10,5.68,3.07,4.15,0.875,2.8,0.84
38,2L10X10X1X3/4,2L10X10X1X3/4,0.839,354,752,49.6,72.5,F,2L,129,90,123,10,10,10,5.89,3.05,4.45,1,2.86,0.95
29,2L10X10X3/4X3/4,2L10X10X3/4X3/4,0.836,278,563,38.4,54.3,F,2L,98.2,69.2,90.9,10,13.3,10,5.89,3.1,4.41,0.75,2.76,0.725
29,2L10X10X3/4,2L10X10X3/4,0.825,278,499,38.4,49.9,F,2L,98.2,69.2,80,10,13.3,10,5.7,3.1,4.15,0.75,2.76,0.725
33.6,2L10X10X7/8X1-1/2,2L10X10X7/8X1-1/2,0.849,316,739,43.8,68.7,F,2L,114,79.8,119,10,11.4,10,6.08,3.07,4.69,0.875,2.8,0.84
29,2L10X10X3/4X1-1/2,2L10X10X3/4X1-1/2,0.847,278,635,38.4,59.1,F,2L,98.2,69.2,102,10,13.3,10,6.1,3.1,4.68,0.75,2.76,0.725
33.6,2L8X8X1-1/8,2L8X8X1-1/8,0.837,196,391,35,48.9,F,2L,114,63.2,80.6,8,7.08,8,4.56,2.41,3.41,1.13,2.4,1.05
33.6,2L8X8X1-1/8X3/8,2L8X8X1-1/8X3/8,0.844,196,421,35,51.4,F,2L,114,63.2,86.9,8,7.08,8,4.66,2.41,3.54,1.13,2.4,1.05
33.6,2L8X8X1-1/8X3/4,2L8X8X1-1/8X3/4,0.851,196,455,35,54.3,F,2L,114,63.2,93.2,8,7.08,8,4.77,2.41,3.68,1.13,2.4,1.05
30.2,2L8X8X1,2L8X8X1,0.834,178,347,31.6,43.4,F,2L,102,57,71.3,8,8,8,4.56,2.43,3.39,1,2.36,0.944
30.2,2L8X8X1X3/8,2L8X8X1X3/8,0.841,178,374,31.6,45.7,F,2L,102,57,76.9,8,8,8,4.66,2.43,3.52,1,2.36,0.944
30.2,2L8X8X1X3/4,2L8X8X1X3/4,0.848,178,405,31.6,48.4,F,2L,102,57,82.6,8,8,8,4.77,2.43,3.66,1,2.36,0.944
26.6,2L8X8X7/8X3/8,2L8X8X7/8X3/8,0.838,159,326,28,39.8,F,2L,90,50.6,66.4,8,9.14,8,4.66,2.45,3.5,0.875,2.31,0.831
26.6,2L8X8X7/8,2L8X8X7/8,0.831,159,300,28,37.5,F,2L,90,50.6,61.4,8,9.14,8,4.56,2.45,3.36,0.875,2.31,0.831
26.6,2L8X8X7/8X3/4,2L8X8X7/8X3/4,0.845,159,351,28,41.9,F,2L,90,50.6,71.4,8,9.14,8,4.76,2.45,3.63,0.875,2.31,0.831
23,2L8X8X3/4X3/8,2L8X8X3/4X3/8,0.836,140,277,24.4,33.8,F,2L,77.8,44,56.3,8,10.7,8,4.66,2.46,3.47,0.75,2.26,0.719
23,2L8X8X3/4,2L8X8X3/4,0.829,140,257,24.4,32.1,F,2L,77.8,44,52,8,10.7,8,4.56,2.46,3.34,0.75,2.26,0.719
19.4,2L8X8X5/8,2L8X8X5/8,0.826,119,214,20.6,26.8,F,2L,65.4,37.2,42.8,8,12.8,8,4.56,2.48,3.32,0.625,2.21,0.606
19.4,2L8X8X5/8X3/8,2L8X8X5/8X3/8,0.833,119,231,20.6,28.2,F,2L,65.4,37.2,46.5,8,12.8,8,4.66,2.48,3.45,0.625,2.21,0.606
19.4,2L8X8X5/8X3/4,2L8X8X5/8X3/4,0.84,119,249,20.6,29.7,F,2L,65.4,37.2,50.1,8,12.8,8,4.76,2.48,3.58,0.625,2.21,0.606
17.5,2L8X8X9/16,2L8X8X9/16,0.825,108,192,18.7,24,F,2L,59.2,33.6,38.4,8,14.2,8,4.56,2.49,3.31,0.563,2.19,0.548
17.5,2L8X8X9/16X3/8,2L8X8X9/16X3/8,0.832,108,207,18.7,25.3,F,2L,59.2,33.6,41.7,8,14.2,8,4.65,2.49,3.44,0.563,2.19,0.548
17.5,2L8X8X9/16X3/4,2L8X8X9/16X3/4,0.839,108,223,18.7,26.6,F,2L,59.2,33.6,45,8,14.2,8,4.75,2.49,3.57,0.563,2.19,0.548
15.7,2L8X8X1/2,2L8X8X1/2,0.824,97.6,171,16.7,21.4,F,2L,52.8,30.2,34,8,16,8,4.56,2.49,3.3,0.5,2.17,0.49
15.7,2L8X8X1/2X3/8,2L8X8X1/2X3/8,0.831,97.6,185,16.7,22.6,F,2L,52.8,30.2,37,8,16,8,4.65,2.49,3.43,0.5,2.17,0.49
15.7,2L8X8X1/2X3/4,2L8X8X1/2X3/4,0.837,97.6,199,16.7,23.8,F,2L,52.8,30.2,39.9,8,16,8,4.75,2.49,3.56,0.5,2.17,0.49
22,2L6X6X1,2L6X6X1,0.843,70.8,146,17.1,24.3,F,2L,74.8,30.8,40.9,6,6,6,3.42,1.79,2.58,1,1.86,0.917
22,2L6X6X1X3/8,2L6X6X1X3/8,0.852,70.8,163,17.1,26.3,F,2L,74.8,30.8,45,6,6,6,3.53,1.79,2.72,1,1.86,0.917
22,2L6X6X1X3/4,2L6X6X1X3/4,0.861,70.8,180,17.1,28.2,F,2L,74.8,30.8,49.2,6,6,6,3.64,1.79,2.86,1,1.86,0.917
19.5,2L6X6X7/8,2L6X6X7/8,0.839,63.8,128,15.2,21.3,F,2L,66.2,27.4,35.3,6,6.86,6,3.42,1.81,2.56,0.875,1.81,0.813
19.5,2L6X6X7/8X3/8,2L6X6X7/8X3/8,0.848,63.8,142,15.2,22.9,F,2L,66.2,27.4,39,6,6.86,6,3.53,1.81,2.7,0.875,1.81,0.813
19.5,2L6X6X7/8X3/4,2L6X6X7/8X3/4,0.857,63.8,157,15.2,24.6,F,2L,66.2,27.4,42.6,6,6.86,6,3.63,1.81,2.84,0.875,1.81,0.813
16.9,2L6X6X3/4,2L6X6X3/4,0.835,56.2,109,13.3,18.2,F,2L,57.4,23.8,29.9,6,8,6,3.42,1.82,2.54,0.75,1.77,0.705
16.9,2L6X6X3/4X3/8,2L6X6X3/4X3/8,0.844,56.2,120,13.3,19.4,F,2L,57.4,23.8,33.1,6,8,6,3.52,1.82,2.67,0.75,1.77,0.705
23,2L8X8X3/4X3/4,2L8X8X3/4X3/4,0.843,140,300,24.4,35.8,F,2L,77.8,44,60.6,8,10.7,8,4.76,2.46,3.61,0.75,2.26,0.719
16.9,2L6X6X3/4X3/4,2L6X6X3/4X3/4,0.853,56.2,133,13.3,20.9,F,2L,57.4,23.8,36.3,6,8,6,3.63,1.82,2.81,0.75,1.77,0.705
14.3,2L6X6X5/8,2L6X6X5/8,0.831,48.2,90.8,11.3,15.1,F,2L,48.4,20.2,24.5,6,9.6,6,3.42,1.84,2.52,0.625,1.72,0.594
14.3,2L6X6X5/8X3/8,2L6X6X5/8X3/8,0.84,48.2,100,11.3,16.2,F,2L,48.4,20.2,27.2,6,9.6,6,3.52,1.84,2.65,0.625,1.72,0.594
14.3,2L6X6X5/8X3/4,2L6X6X5/8X3/4,0.849,48.2,111,11.3,17.4,F,2L,48.4,20.2,29.9,6,9.6,6,3.62,1.84,2.79,0.625,1.72,0.594
12.9,2L6X6X9/16,2L6X6X9/16,0.829,44,81.3,10.2,13.6,F,2L,43.8,18.4,21.9,6,10.7,6,3.42,1.85,2.51,0.563,1.7,0.538
12.9,2L6X6X9/16X3/8,2L6X6X9/16X3/8,0.838,44,89.9,10.2,14.5,F,2L,43.8,18.4,24.3,6,10.7,6,3.52,1.85,2.64,0.563,1.7,0.538
12.9,2L6X6X9/16X3/4,2L6X6X9/16X3/4,0.847,44,99.7,10.2,15.6,F,2L,43.8,18.4,26.8,6,10.7,6,3.62,1.85,2.78,0.563,1.7,0.538
11.5,2L6X6X1/2X3/8,2L6X6X1/2X3/8,0.836,39.8,79.5,9.18,12.8,F,2L,39.2,16.4,21.4,6,12,6,3.52,1.86,2.63,0.5,1.67,0.481
11.5,2L6X6X1/2,2L6X6X1/2,0.827,39.8,71.9,9.18,12,F,2L,39.2,16.4,19.3,6,12,6,3.42,1.86,2.5,0.5,1.67,0.481
11.5,2L6X6X1/2X3/4,2L6X6X1/2X3/4,0.846,39.8,87.6,9.18,13.7,F,2L,39.2,16.4,23.6,6,12,6,3.62,1.86,2.76,0.5,1.67,0.481
10.2,2L6X6X7/16,2L6X6X7/16,0.826,35.2,63.2,8.12,10.5,F,2L,34.4,14.5,16.8,6,13.7,6,3.42,1.86,2.49,0.438,1.65,0.423
10.2,2L6X6X7/16X3/8,2L6X6X7/16X3/8,0.835,35.2,70,8.12,11.3,F,2L,34.4,14.5,18.7,6,13.7,6,3.52,1.86,2.62,0.438,1.65,0.423
10.2,2L6X6X7/16X3/4,2L6X6X7/16X3/4,0.844,35.2,77.1,8.12,12.1,F,2L,34.4,14.5,20.6,6,13.7,6,3.62,1.86,2.75,0.438,1.65,0.423
8.76,2L6X6X3/8,2L6X6X3/8,0.824,30.8,53.9,7.02,8.98,F,2L,29.8,12.5,14.2,6,16,6,3.42,1.87,2.48,0.375,1.62,0.365
8.76,2L6X6X3/8X3/8,2L6X6X3/8X3/8,0.833,30.8,59.2,7.02,9.57,F,2L,29.8,12.5,15.8,6,16,6,3.51,1.87,2.6,0.375,1.62,0.365
7.34,2L6X6X5/16,2L6X6X5/16,0.823,26,44.8,5.9,7.47,F,2L,24.8,10.5,11.7,6,19.2,6,3.42,1.88,2.47,0.313,1.6,0.306
8.76,2L6X6X3/8X3/4,2L6X6X3/8X3/4,0.842,30.8,65.8,7.02,10.3,F,2L,29.8,12.5,17.5,6,16,6,3.61,1.87,2.74,0.375,1.62,0.365
16,2L5X5X7/8,2L5X5X7/8,0.845,35.6,74.6,10.3,14.9,F,2L,54.4,18.6,25,5,5.71,5,2.85,1.49,2.16,0.875,1.56,0.8
16,2L5X5X7/8X3/4,2L5X5X7/8X3/4,0.866,35.6,95.3,10.3,17.7,F,2L,54.4,18.6,31,5,5.71,5,3.07,1.49,2.44,0.875,1.56,0.8
7.34,2L6X6X5/16X3/4,2L6X6X5/16X3/4,0.841,26,54.3,5.9,8.52,F,2L,24.8,10.5,14.5,6,19.2,6,3.61,1.88,2.72,0.313,1.6,0.306
14,2L5X5X3/4,2L5X5X3/4,0.84,31.4,63.5,9.04,12.7,F,2L,47.2,16.3,21.2,5,6.67,5,2.85,1.5,2.13,0.75,1.52,0.698
14,2L5X5X3/4X3/8,2L5X5X3/4X3/8,0.851,31.4,72.1,9.04,13.9,F,2L,47.2,16.3,23.8,5,6.67,5,2.95,1.5,2.27,0.75,1.52,0.698
7.34,2L6X6X5/16X3/8,2L6X6X5/16X3/8,0.832,26,49.2,5.9,7.95,F,2L,24.8,10.5,13.1,6,19.2,6,3.51,1.88,2.59,0.313,1.6,0.306
16,2L5X5X7/8X3/8,2L5X5X7/8X3/8,0.856,35.6,84.6,10.3,16.3,F,2L,54.4,18.6,28,5,5.71,5,2.96,1.49,2.3,0.875,1.56,0.8
14,2L5X5X3/4X3/4,2L5X5X3/4X3/4,0.861,31.4,81.3,9.04,15.1,F,2L,47.2,16.3,26.5,5,6.67,5,3.06,1.5,2.41,0.75,1.52,0.698
11.8,2L5X5X5/8,2L5X5X5/8,0.835,27.2,52.5,7.7,10.5,F,2L,40,13.9,17.3,5,8,5,2.85,1.52,2.11,0.625,1.47,0.59
11.8,2L5X5X5/8X3/8,2L5X5X5/8X3/8,0.846,27.2,59.7,7.7,11.5,F,2L,40,13.9,19.6,5,8,5,2.95,1.52,2.25,0.625,1.47,0.59
9.58,2L5X5X1/2,2L5X5X1/2,0.83,22.6,41.8,6.3,8.36,F,2L,32.4,11.3,13.6,5,10,5,2.85,1.53,2.09,0.5,1.42,0.479
11.8,2L5X5X5/8X3/4,2L5X5X5/8X3/4,0.857,27.2,67.4,7.7,12.5,F,2L,40,13.9,21.8,5,8,5,3.06,1.52,2.39,0.625,1.47,0.59
9.58,2L5X5X1/2X3/8,2L5X5X1/2X3/8,0.842,22.6,47.2,6.3,9.1,F,2L,32.4,11.3,15.4,5,10,5,2.94,1.53,2.22,0.5,1.42,0.479
9.58,2L5X5X1/2X3/4,2L5X5X1/2X3/4,0.852,22.6,53.4,6.3,9.93,F,2L,32.4,11.3,17.2,5,10,5,3.05,1.53,2.36,0.5,1.42,0.479
8.44,2L5X5X7/16,2L5X5X7/16,0.828,20,36.5,5.56,7.3,F,2L,28.6,10,11.8,5,11.4,5,2.85,1.54,2.08,0.438,1.4,0.422
8.44,2L5X5X7/16X3/8,2L5X5X7/16X3/8,0.839,20,41.2,5.56,7.94,F,2L,28.6,10,13.4,5,11.4,5,2.94,1.54,2.21,0.438,1.4,0.422
8.44,2L5X5X7/16X3/4,2L5X5X7/16X3/4,0.85,20,46.6,5.56,8.67,F,2L,28.6,10,15,5,11.4,5,3.05,1.54,2.35,0.438,1.4,0.422
7.3,2L5X5X3/8,2L5X5X3/8,0.826,17.5,31.3,4.82,6.26,F,2L,24.6,8.66,10,5,13.3,5,2.84,1.55,2.07,0.375,1.37,0.365
7.3,2L5X5X3/8X3/8,2L5X5X3/8X3/8,0.838,17.5,35.3,4.82,6.8,F,2L,24.6,8.66,11.4,5,13.3,5,2.94,1.55,2.2,0.375,1.37,0.365
7.3,2L5X5X3/8X3/4,2L5X5X3/8X3/4,0.848,17.5,40,4.82,7.44,F,2L,24.6,8.66,12.7,5,13.3,5,3.04,1.55,2.34,0.375,1.37,0.365
6.14,2L5X5X5/16,2L5X5X5/16,0.825,14.9,26.1,4.08,5.22,F,2L,20.6,7.3,8.29,5,16,5,2.84,1.56,2.06,0.313,1.35,0.307
6.14,2L5X5X5/16X3/8,2L5X5X5/16X3/8,0.836,14.9,29.4,4.08,5.67,F,2L,20.6,7.3,9.44,5,16,5,2.94,1.56,2.19,0.313,1.35,0.307
10.9,2L4X4X3/4,2L4X4X3/4,0.847,15.2,32.6,5.58,8.15,F,2L,37,10,13.8,4,5.33,4,2.28,1.18,1.73,0.75,1.27,0.68
10.9,2L4X4X3/4X3/4,2L4X4X3/4X3/4,0.874,15.2,44.9,5.58,10.3,F,2L,37,10,17.9,4,5.33,4,2.51,1.18,2.03,0.75,1.27,0.68
10.9,2L4X4X3/4X3/8,2L4X4X3/4X3/8,0.861,15.2,38.5,5.58,9.19,F,2L,37,10,15.9,4,5.33,4,2.39,1.18,1.88,0.75,1.27,0.68
9.22,2L4X4X5/8,2L4X4X5/8,0.841,13.2,27,4.76,6.75,F,2L,31.4,8.56,11.2,4,6.4,4,2.28,1.2,1.71,0.625,1.22,0.576
9.22,2L4X4X5/8X3/4,2L4X4X5/8X3/4,0.868,13.2,36.9,4.76,8.43,F,2L,31.4,8.56,14.7,4,6.4,4,2.5,1.2,2,0.625,1.22,0.576
9.22,2L4X4X5/8X3/8,2L4X4X5/8X3/8,0.854,13.2,31.6,4.76,7.55,F,2L,31.4,8.56,13,4,6.4,4,2.39,1.2,1.85,0.625,1.22,0.576
6.14,2L5X5X5/16X3/4,2L5X5X5/16X3/4,0.847,14.9,33,4.08,6.14,F,2L,20.6,7.3,10.6,5,16,5,3.04,1.56,2.32,0.313,1.35,0.307
7.5,2L4X4X1/2,2L4X4X1/2,0.834,11,21.4,3.92,5.35,F,2L,25.6,7,8.85,4,8,4,2.28,1.21,1.69,0.5,1.18,0.469
7.5,2L4X4X1/2X3/8,2L4X4X1/2X3/8,0.848,11,25.1,3.92,5.99,F,2L,25.6,7,10.3,4,8,4,2.38,1.21,1.83,0.5,1.18,0.469
6.6,2L4X4X7/16,2L4X4X7/16,0.832,9.86,18.6,3.46,4.65,F,2L,22.6,6.2,7.59,4,9.13,4,2.28,1.22,1.68,0.438,1.15,0.413
7.5,2L4X4X1/2X3/4,2L4X4X1/2X3/4,0.862,11,29.1,3.92,6.65,F,2L,25.6,7,11.7,4,8,4,2.49,1.21,1.97,0.5,1.18,0.469
6.6,2L4X4X7/16X3/4,2L4X4X7/16X3/4,0.859,9.86,25.4,3.46,5.81,F,2L,22.6,6.2,10.1,4,9.13,4,2.49,1.22,1.96,0.438,1.15,0.413
6.6,2L4X4X7/16X3/8,2L4X4X7/16X3/8,0.846,9.86,21.6,3.46,5.16,F,2L,22.6,6.2,8.83,4,9.13,4,2.38,1.22,1.81,0.438,1.15,0.413
5.72,2L4X4X3/8X3/4,2L4X4X3/8X3/4,0.856,8.64,21.5,3,4.91,F,2L,19.6,5.38,8.61,4,10.7,4,2.49,1.23,1.94,0.375,1.13,0.358
4.8,2L4X4X5/16,2L4X4X5/16,0.826,7.34,13.2,2.54,3.3,F,2L,16.4,4.52,5.33,4,12.8,4,2.28,1.24,1.66,0.313,1.11,0.3
5.72,2L4X4X3/8X3/8,2L4X4X3/8X3/8,0.843,8.64,18.5,3,4.42,F,2L,19.6,5.38,7.54,4,10.7,4,2.38,1.23,1.8,0.375,1.13,0.358
5.72,2L4X4X3/8,2L4X4X3/8,0.829,8.64,16,3,4,F,2L,19.6,5.38,6.46,4,10.7,4,2.28,1.23,1.67,0.375,1.13,0.358
4.8,2L4X4X5/16X3/4,2L4X4X5/16X3/4,0.854,7.34,17.9,2.54,4.09,F,2L,16.4,4.52,7.13,4,12.8,4,2.48,1.24,1.93,0.313,1.11,0.3
4.8,2L4X4X5/16X3/8,2L4X4X5/16X3/8,0.84,7.34,15.4,2.54,3.68,F,2L,16.4,4.52,6.23,4,12.8,4,2.37,1.24,1.79,0.313,1.11,0.3
3.86,2L4X4X1/4,2L4X4X1/4,0.824,6,10.5,2.06,2.62,F,2L,13.2,3.64,4.17,4,16,4,2.28,1.25,1.65,0.25,1.08,0.241
3.86,2L4X4X1/4X3/8,2L4X4X1/4X3/8,0.838,6,12.2,2.06,2.91,F,2L,13.2,3.64,4.89,4,16,4,2.37,1.25,1.78,0.25,1.08,0.241
3.86,2L4X4X1/4X3/4,2L4X4X1/4X3/4,0.851,6,14.1,2.06,3.22,F,2L,13.2,3.64,5.62,4,16,4,2.48,1.25,1.91,0.25,1.08,0.241
6.5,2L3-1/2X3-1/2X1/2,2L3-1/2X3-1/2X1/2,0.838,7.26,14.4,2.96,4.11,F,2L,22.2,5.32,6.82,3.5,7,3.5,1.99,1.05,1.49,0.5,1.05,0.464
6.5,2L3-1/2X3-1/2X1/2X3/8,2L3-1/2X3-1/2X1/2X3/8,0.854,7.26,17.3,2.96,4.69,F,2L,22.2,5.32,8.04,3.5,7,3.5,2.1,1.05,1.63,0.5,1.05,0.464
6.5,2L3-1/2X3-1/2X1/2X3/4,2L3-1/2X3-1/2X1/2X3/4,0.869,7.26,20.4,2.96,5.26,F,2L,22.2,5.32,9.26,3.5,7,3.5,2.21,1.05,1.77,0.5,1.05,0.464
5.78,2L3-1/2X3-1/2X7/16,2L3-1/2X3-1/2X7/16,0.835,6.5,12.7,2.64,3.63,F,2L,19.6,4.72,5.95,3.5,7.99,3.5,1.99,1.06,1.48,0.438,1.03,0.413
5.78,2L3-1/2X3-1/2X7/16X3/8,2L3-1/2X3-1/2X7/16X3/8,0.851,6.5,15,2.64,4.07,F,2L,19.6,4.72,7.04,3.5,7.99,3.5,2.09,1.06,1.61,0.438,1.03,0.413
5.78,2L3-1/2X3-1/2X7/16X3/4,2L3-1/2X3-1/2X7/16X3/4,0.866,6.5,17.9,2.64,4.62,F,2L,19.6,4.72,8.12,3.5,7.99,3.5,2.21,1.06,1.76,0.438,1.03,0.413
5,2L3-1/2X3-1/2X3/8,2L3-1/2X3-1/2X3/8,0.832,5.72,10.8,2.3,3.09,F,2L,17,4.12,5,3.5,9.33,3.5,1.99,1.07,1.47,0.375,1,0.357
5,2L3-1/2X3-1/2X3/8X3/8,2L3-1/2X3-1/2X3/8X3/8,0.848,5.72,12.8,2.3,3.47,F,2L,17,4.12,5.94,3.5,9.33,3.5,2.09,1.07,1.6,0.375,1,0.357
5,2L3-1/2X3-1/2X3/8X3/4,2L3-1/2X3-1/2X3/8X3/4,0.863,5.72,15.1,2.3,3.9,F,2L,17,4.12,6.88,3.5,9.33,3.5,2.2,1.07,1.74,0.375,1,0.357
4.2,2L3-1/2X3-1/2X5/16,2L3-1/2X3-1/2X5/16,0.829,4.88,8.95,1.94,2.56,F,2L,14.4,3.48,4.11,3.5,11.2,3.5,1.99,1.08,1.46,0.313,0.979,0.3
4.2,2L3-1/2X3-1/2X5/16X3/8,2L3-1/2X3-1/2X5/16X3/8,0.845,4.88,10.6,1.94,2.87,F,2L,14.4,3.48,4.9,3.5,11.2,3.5,2.09,1.08,1.59,0.313,0.979,0.3
4.2,2L3-1/2X3-1/2X5/16X3/4,2L3-1/2X3-1/2X5/16X3/4,0.86,4.88,12.6,1.94,3.25,F,2L,14.4,3.48,5.69,3.5,11.2,3.5,2.2,1.08,1.73,0.313,0.979,0.3
3.4,2L3-1/2X3-1/2X1/4X3/8,2L3-1/2X3-1/2X1/4X3/8,0.842,4,8.38,1.57,2.27,F,2L,11.6,2.82,3.88,3.5,14,3.5,2.08,1.09,1.57,0.25,0.954,0.243
3.4,2L3-1/2X3-1/2X1/4,2L3-1/2X3-1/2X1/4,0.826,4,7.05,1.57,2.01,F,2L,11.6,2.82,3.24,3.5,14,3.5,1.99,1.09,1.44,0.25,0.954,0.243
3.4,2L3-1/2X3-1/2X1/4X3/4,2L3-1/2X3-1/2X1/4X3/4,0.857,4,10.1,1.57,2.61,F,2L,11.6,2.82,4.52,3.5,14,3.5,2.19,1.09,1.72,0.25,0.954,0.243
5.52,2L3X3X1/2,2L3X3X1/2,0.842,4.4,9.19,2.12,3.06,F,2L,18.8,3.82,5.13,3,6,3,1.71,0.895,1.29,0.5,0.929,0.46
5.52,2L3X3X1/2X3/8,2L3X3X1/2X3/8,0.861,4.4,11.3,2.12,3.55,F,2L,18.8,3.82,6.16,3,6,3,1.82,0.895,1.43,0.5,0.929,0.46
5.52,2L3X3X1/2X3/4,2L3X3X1/2X3/4,0.878,4.4,13.8,2.12,4.09,F,2L,18.8,3.82,7.2,3,6,3,1.94,0.895,1.58,0.5,0.929,0.46
4.86,2L3X3X7/16,2L3X3X7/16,0.838,3.96,7.96,1.89,2.65,F,2L,16.6,3.4,4.41,3,6.85,3,1.71,0.903,1.28,0.438,0.907,0.405
4.86,2L3X3X7/16X3/8,2L3X3X7/16X3/8,0.857,3.96,9.8,1.89,3.07,F,2L,16.6,3.4,5.32,3,6.85,3,1.82,0.903,1.42,0.438,0.907,0.405
4.86,2L3X3X7/16X3/4,2L3X3X7/16X3/4,0.874,3.96,12,1.89,3.56,F,2L,16.6,3.4,6.23,3,6.85,3,1.94,0.903,1.57,0.438,0.907,0.405
4.22,2L3X3X3/8,2L3X3X3/8,0.834,3.5,6.81,1.65,2.27,F,2L,14.4,2.96,3.73,3,8,3,1.71,0.91,1.27,0.375,0.884,0.352
3.56,2L3X3X5/16X3/8,2L3X3X5/16X3/8,0.849,3,6.88,1.4,2.16,F,2L,12.2,2.52,3.73,3,9.58,3,1.81,0.918,1.39,0.313,0.86,0.297
3.56,2L3X3X5/16,2L3X3X5/16,0.83,3,5.65,1.4,1.88,F,2L,12.2,2.52,3.06,3,9.58,3,1.71,0.918,1.26,0.313,0.86,0.297
4.22,2L3X3X3/8X3/4,2L3X3X3/8X3/4,0.87,3.5,10.1,1.65,2.99,F,2L,14.4,2.96,5.31,3,8,3,1.93,0.91,1.55,0.375,0.884,0.352
